question,generated_answer
who invented the first version of photoshop and what was it known as,"Photoshop was developed in 1987 by the American brothers Thomas and John Knoll. Thomas renamed the program ImagePro, but as the name was already taken he renamed it Photoshop."
where does the phrase to get cold feet come from,"The origin of the term itself has been largely attributed to American author Stephen Crane, who added the phrase in 1896 to the second edition of his short novel, Maggie: A Girl of the Streets. However, the true origin and first usage of the phrase remains debated and unconfirmed."
when is an object said to be at rest give an example,when the position of a body with respect to its surroundings does not change with time
who did the voice of chucky in child's play,Brad Dourif
what does a american bull dog look like,"stocky, well built, strong-looking dog, with a large head and a muscular build"
who marries who in midsummer night's dream,Oberon commands Puck to correct the enchantment placed on Lysander. The lovers are married in a joint ceremony with Theseus and Hippolyta ( offstage ).
where was the movie live by night filmed,"coastal Georgia; in Brunswick, at Affleck's private property on Hampton Island near Riceboro, on Tybee Island, in Savannah, and at Fort Pulaski National Monument ; in Lawrence, North Andover, and Boston's North End; in Los Angeles, California; at the Millennium Biltmore Hotel in Pasaden"
what is the song one tree hill about,"Greg Carroll, a Mori man the band first met in Auckland during the Unforgettable Fire Tour in 1984. Carroll was killed in July 1986 in a motorcycle accident in Dublin. The lyrics reflect Bono's thoughts at the tangi and during his first night in New Zealand when Carroll took him up Auckland's One Tree Hill. They also pay homage to"
what were the causes of the indigo revolt,"The farmers could make no profit growing indigo. The farmers were totally unprotected from the indigo planters, who resorted to mortgages or destruction of their property if they were unwilling to obey them. Government rules favoured the planters. By an act in 1833, the planters were granted a free hand in oppress"
where does corrosion take place give two example,"Rusting, the formation of iron oxides, is a well known example of electrochemical corrosion. Corrosion can also occur in materials other than metals, such as ceramics or polymers."
what does the c mean on nfl players jerseys,Players who have been named a team captain typically have a  C '' patch on their jerseys
where was the film remains of the day filmed,English country estates
is welsh the oldest spoken language in europe,"Welsh might be one of the oldest languages to be used in the UK, but it remains one of the most vibrant."
